instance_name,length,width,hollowness
plate_7_5,1,0.980276705026297,0.09849971762376251,0.6319738286695801
plastic_box_7_2,0.8164016211693154,0.8688507748861287,1,0
plastic_box_4_4,0.9244903593304362,0.9884923692928587,1,0
plate_4_7,0.9629813561468564,1,0.144935631383367,0.7959060674540055
cup_7_4,0.7703076421030828,0.7689676532438124,1,0.9876769576278622
plastic_box_4_2,0.8988342559763475,0.925790483438652,1,0
book_3_2,0.6953642665341541,1,0.1555545167795253,0
tray_3_6,0.9467675686206913,1,0.08729906127287494,0
paper_box_7_1,0.541228080012549,1,0.1228671705628072,0
plastic_box_9_1,0.8884433910832595,1,0.5760047788438474,0
metal_box_2_5,0.9578013563104709,1,0.7078576280455249,0
metal_box_2_10,0.9124414548792554,1,0.6921725388568203,0
cup_9_9,0.6962013584788437,1,0.7701254564712129,0.8890898450767131
paper_box_5_4,0.5198336461964882,1,0.5833282798405537,0
ball_6_2,0.6720837562535132,0.9935441386863562,1,0
tray_8_1,0.9882511225125311,1,0.1246794843719765,0
book_6_9,0.7075559861098057,1,0.128987632208671,0
sponge_2_10,0.5658426565434087,1,0.199555961424662,0
book_2_2,1,0.6873934225217705,0.1954103030788044,0
book_6_4,0.7026040752200642,1,0.1241257957942815,0
book_7_8,0.6738393401092402,1,0.06648548200519397,0
paper_box_3_1,0.6552502230404681,1,0.2813999807700446,0
plastic_box_3_3,0.3984937393782334,0.7057835203552787,1,0
tray_4_5,0.6723626861718008,1,0.1236998652384343,0
book_5_3,1,0.7018120106141639,0.05711282484620498,0
ball_9_7,0.7773053778724978,1,0.9576976614217764,0
ball_1_3,0.704779097616888,1,0.9230214307664868,0
to_go_cup_4_8,0.556698053796127,0.673869336692059,1,0
tray_8_2,0.9898192939652004,1,0.111978936609982,0
plastic_box_10_3,0.8367472883092344,1,0.4152062868336552,0
book_7_3,0.6741620343687967,1,0.07044059068067048,0
cup_10_4,0.751071831469814,1,0.7460540471327071,0.8874101473347403
paper_box_5_9,0.5168063211678998,1,0.5813850367096696,0
cup_10_1,0.7635882803934936,1,0.7250755487128308,0.8826086526240703
cup_7_5,0.7419215086837984,0.7621004353245526,1,0.9877448793599987
tray_6_8,0.8313793185356263,1,0.08236985466624763,0
book_3_10,0.6946314253072436,1,0.1625637016992861,0
book_3_1,0.6923745101210058,1,0.1653222867945476,0
sponge_5_10,0.9242163411860344,1,0.3443835459356863,0
